id,name,description,themes,genre
1002216,jackass the movie,"johnny knoxville and his crazy friend appear on the big screen for the very first time in jackass the movie . they wander around japan in panda outfit , wreak havoc on a once civilized golf course , they even do stunt involving live alligator , and so on . while johnny knoxvile and his pal put their life at risk , they are entertaining people at the same time . get ready for jackass the movie ! !","crude humor and satire , funny joke and crude humor , gag , joke , and slapstick humor , kid animated fun and adventure , catchy song and hilarious musical comedy , teen school antic and laughter",Comedy
1023981,my science project,"his high school teacher issue an ultimatum turn in a science project or flunk . so mike harlan scavenges a military base junk pile for a suitable gizmo . he find one ... and unwittingly unleashes the awesome power and energy of the unknown . twisted dimension . time warp . a fantastic realm where the past , present , and future collide in a whirling vortex of startling adventure and superlative special effect .","underdog and coming of age , teen school antic and laughter , actionpacked space and alien saga , adrenalinefueled action and fast car , superheroes in actionpacked battle with villain",Comedy
1010662,flickering light,"four small gangster from copenhagen trick a gangster bos they take over 4,000,000 krone which they were supposed to bring him . trying to escape to barcelona they are forced to stop in the countryside , in an old , wrecked house , hiding there for several week . slowly , one after another , they realize , that they would like to stay there , start a new life .","crude humor and satire , gag , joke , and slapstick humor , funny joke and crude humor , violent action , gun , and crime , amusing joke and witty satire",Comedy
1001346,happy gilmore,"failed hockey playerturnedgolf whiz happy gilmore whose unconventional approach and antic on the grass court the ire of rival shooter mcgavin is determined to win a pga tournament so he can save his granny house with the prize money . meanwhile , an attractive tour publicist try to soften happys image .","crude humor and satire , gag , joke , and slapstick humor , funny joke and crude humor , laughoutloud relationship entanglement , amusing joke and witty satire , inspiring sport underdog story",Comedy
1067952,batti gul meter chalu,"the life of three friend take a tragic turn due to an inflated electricity bill , which lead to a courtroom drama and social awakening .","relationship comedy , bollywood emotional drama",Comedy
1000995,shark tale,"oscar is a small fish whose big aspiration often get him into trouble . meanwhile , lenny is a great white shark with a surprising secret that no sea creature would guess he a vegetarian . when a lie turn oscar into an improbable hero and lenny becomes an outcast , the two form an unlikely friendship .","crude humor and satire , kid animated fun and adventure , funny joke and crude humor , adorable animal and heartwarming family , amusing joke and witty satire , catchy song and hilarious musical comedy",Comedy
1021619,housefull,"believing himself to be a jinx and bringing bad luck upon himself and others , a man attempt to find true love , but end up in very complicated relationship .","crude humor and satire , gag , joke , and slapstick humor , quirky and endearing relationship , amusing joke and witty satire , laughoutloud relationship entanglement , funny joke and crude humor",Comedy
1014206,mad money,three female employee of the federal reserve plot to steal money that is about to be destroyed .,"crude humor and satire , gag , joke , and slapstick humor , heist and thrilling action",Comedy
1010463,night shift,"a nebbish of a morgue attendant get shunted back to the night shift where he is shackled with an obnoxious neophyte partner who dream of the one great idea for success . his life take a bizarre turn when a prostitute neighbor complains about the loss of her pimp . his partner , upon hearing the situation , suggests that they fill that opening themselves using the morgue at night .","crude humor and satire , relationship comedy , gag , joke , and slapstick humor , catchy song and hilarious musical comedy , funny joke and crude humor , laughoutloud relationship entanglement , amusing joke and witty satire",Comedy
1001087,the lost city,"follows a reclusive romance novelist who wa sure nothing could be worse than getting stuck on a book tour with her cover model , until a kidnapping attempt sweep them both into a cutthroat jungle adventure , proving life can be so much stranger , and more romantic , than any of her paperback fiction .","crude humor and satire , relationship comedy , laughoutloud relationship entanglement , gag , joke , and slapstick humor , action comedy and silly heroic , catchy song and hilarious musical comedy , funny joke and crude humor",Comedy
1003652,the daytrippers,"eliza damico think her marriage to louis is going great until she find a mysterious love note to her husband . concerned , she go to her mother for advice . eliza , her parent , her sister jo , and jos boyfriend all pile into a station wagon to go to the city to confront louis with the letter . on the way , the five explore their relation with each other and meet many interesting people .","moving relationship story , crude humor and satire , relationship comedy , quirky and endearing relationship , laughoutloud relationship entanglement , charming romance and delightful chemistry , touching and sentimental family story , enduring story of family and marital drama",Comedy
1007140,meet the spartan,"the heroic leonidas , armed with nothing but leather underwear and a cape , lead a ragtag group of 13 spartan to defend their homeland against the invading persian whose rank include ghost rider , rocky balboa , the transformer , and a hunchbacked paris hilton . no one is safe when the spartan take on the biggest icon in pop culture !","crude humor and satire , funny joke and crude humor , amusing joke and witty satire , gag , joke , and slapstick humor , spooky , scary comedy , catchy song and hilarious musical comedy",Comedy
1042818,the devil disciple,"in a small new england town during the american war of independence , dick dudgeon , a revolutionary american puritan , is mistaken for local minister rev . anthony anderson and arrested by the british . dick discovers himself incapable of accusing another human to suffer and continues to masquerade a the reverend .","epic history and literature , historical battle and epic heroism , amusing joke and witty satire , military combat and heroic soldier , political drama , patriotism , and war , bravery in war",Comedy
1000696,game night,"max and annies weekly game night get kicked up a notch when max brother brook arranges a murder mystery party complete with fake thug and federal agent . so when brook get kidnapped , it all supposed to be part of the game . a the competitor set out to solve the case , they start to learn that neither the game nor brook are what they seem to be . the friend soon find themselves in over their head a each twist lead to another unexpected turn over the course of one chaotic night .","crude humor and satire , relationship comedy , gag , joke , and slapstick humor , funny joke and crude humor , spooky , scary comedy , laughoutloud relationship entanglement , amusing joke and witty satire",Comedy
1119357,big bad love,"vietnam veteran leon barlow is struggling a a writer , and his personal life isnt much better . his unsympathetic exwife marilyn doesnt approve of his visit with his two child , and he ha problem with alcohol . yet even when leon manages to catch up on alimony and child support payment , thing in his life seem to decline further , until a sudden tragedy catch him off guard .","moving relationship story , surreal and thoughtprovoking vision of life and death , powerful story of heartbreak and suffering",Comedy
1012312,howling ii stirba werewolf bitch,"when a young journalist dy in violent circumstance , her brother soon learns , by way of the mysterious stefan crosscoe , that his sister ha succumbed to the werewolf curse .","horror , the undead and monster classic , bloody vampire horror , gothic and eerie haunting horror , creepy , chilling , and terrifying horror , scifi horror , creature , and alien , gory , gruesome , and slasher horror",Comedy
1063384,the taming of the shrew,"adapted from shakespeare play baptista minola , a wealthy resident of padua , is the father of katherine and bianca . the younger daughter , bianca , is charming and ha many suitor . but her father will not allow bianca to be married until her older sister , who is notoriously quarrelsome and badtempered , is married first . when petruchio come from verona to padua in search of a wife , he hears of this situation , and he accepts the challenge of trying to woo and marry the illnatured katherine .","relationship comedy , charming romance and delightful chemistry",Comedy
1052636,bye bye birdie,"in 1995 , abc presented a telemovie version of the broadway musical bye bye birdie produced by rhi entertainment . it starred seinfelds jason alexander and vanessa williams of desperate housewife . while this version remained mostly faithful to the original musical michael stewart remains the only credited author of this version , several song were added and rearranged , and dialogue wa slightly rewritten to smoothly facilitate the musical change . the musical revolves around an elvis presleytype rocker who about to join the army . to mark the occasion , his manager secretary arranges for him to kiss a random fan goodbye on the ed sullivan show . bye bye birdie earned four tony award in 1961 , including best musical and best actor in a musical for it original star , dick van dyke . in addition to alexander and williams , abc production starred tyne daly , george wendt , chynna phillips and mark kudisch .","song and dance , dazzling vocal performance and musical , dance rhythm and catchy tune , catchy song and hilarious musical comedy",Comedy
1001990,stranger than fiction,harold crick is a lonely irs agent whose mundane existence is transformed when he hears a mysterious voice narrating his life .,"relationship comedy , humanity and the world around u , crude humor and satire , moving relationship story , surreal and thoughtprovoking vision of life and death , laughoutloud relationship entanglement , quirky and endearing relationship , gag , joke , and slapstick humor , charming romance and delightful chemistry",Comedy
1004656,sister,two disconnected sister are summoned to clean out their childhood bedroom before their parent sell their family home .,"crude humor and satire , underdog and coming of age , funny joke and crude humor , gag , joke , and slapstick humor , teen school antic and laughter , amusing joke and witty satire , laughoutloud relationship entanglement",Comedy
1009769,pecker,"a baltimore teenager who pick up a secondhand camera start snapping his way to stardom , soon turning into a nationwide sensation , with a fateful choice between his life and his art .","crude humor and satire , funny joke and crude humor , gag , joke , and slapstick humor , teen school antic and laughter , amusing joke and witty satire , laughoutloud relationship entanglement",Comedy
1015265,the late show,"overthehill gumshoe in los angeles seek to avenge the killing of an old pal , another detective who had gotten himself involved in a case concerning a murdered broad , stolen stamp , a nickelplated handgun , a cheating dolly , and a kidnapped pussycat .","thriller and murder mystery , suspenseful crime thriller , noir and dark crime drama , intriguing and suspenseful murder mystery , laughoutloud relationship entanglement",Comedy
1007148,detroit rock city,"in 1978 , a kiss concert wa an epochmaking event . for the three teen fan in detroit rock city getting ticket to the soldout show becomes the focal point of their existence . theyll do anything for ticket compete in a strip club amateurnight contest , take on religious protester , even rob a convenience store !","crude humor and satire , underdog and coming of age , teen school antic and laughter , catchy song and hilarious musical comedy , funny joke and crude humor , gag , joke , and slapstick humor , legendary musician and stardom",Comedy
1241414,chhappad phaad ke,"meet the gupchups , a typical indian middleclass family , financially weak but morally rich . their ordinary life take an extraordinary twist when they find a bag containing 5 crore . will they give up ethic for money ?","crude humor and satire , bollywood emotional drama",Comedy
1016571,abbott and costello meet the invisible man,"a novice detective , bud and lou come face to face with the invisible man .","crude humor and satire , gag , joke , and slapstick humor , spooky , scary comedy , funny joke and crude humor , action comedy and silly heroic",Comedy
1051396,jet lag,"at charles de gaulle airport in paris , a beautician on her way to a new job in mexico accidentally meet a cook who is on his way back from america . labor strike , bad weather , and pure luck cause the two of them to share a room overnight at the airport hilton hotel . will their initial mutual indifference and downright hostility turn into a one night stand or perhaps something more ?","relationship comedy , moving relationship story , charming romance and delightful chemistry , captivating relationship and charming romance , laughoutloud relationship entanglement , passion and romance , quirky and endearing relationship",Comedy
1005797,pam tommy,this comedic series take on the true story behind the release of the first ever viral video in history the sex tape of pamela anderson and tommy lee .,"epic history and literature , challenging or sexual theme twist",Comedy
1002772,plus one,two single friend agree to be each others respective plus one for each wedding theyre invited to during a particularly busy nuptial period of their life .,"relationship comedy , laughoutloud relationship entanglement , charming romance and delightful chemistry , quirky and endearing relationship , catchy song and hilarious musical comedy",Comedy
1002737,this is 40,"pete and debbie are both about to turn 40 , their kid hate each other , both of their business are failing , theyre on the verge of losing their house , and their relationship is threatening to fall apart .","crude humor and satire , relationship comedy , quirky and endearing relationship , funny joke and crude humor , gag , joke , and slapstick humor , laughoutloud relationship entanglement , amusing joke and witty satire",Comedy
1006279,my big fat greek wedding 2,"the continuing adventure of the portokalos family . a followup to the 2002 comedy , my big fat greek wedding .","relationship comedy , crude humor and satire , underdog and coming of age , laughoutloud relationship entanglement , quirky and endearing relationship , charming romance and delightful chemistry , touching and sentimental family story , gag , joke , and slapstick humor",Comedy
1050056,humshakals,"a comedy centered around three people who each have a lookalike of a lookalike , all with the same name .","crude humor and satire , gag , joke , and slapstick humor , funny joke and crude humor , catchy song and hilarious musical comedy , amusing joke and witty satire , spooky , scary comedy",Comedy
1001626,tampopo,"a pair of truck driver happen onto a decrepit roadside fast food stop selling ramen noodle . the widowed owner , tampopo , begs them to help her turn her establishment into a paragon of the art of noodle soup making .","crude humor and satire , funny joke and crude humor , quirky and endearing relationship , gag , joke , and slapstick humor , charming romance and delightful chemistry , amusing joke and witty satire",Comedy
1005607,the muppets take manhattan,"when the muppets graduate from danhurst college , they take their songfilled senior revue to new york city , only to learn that it isnt easy to find a producer who willing to back a show starring a frog and a pig . of course , kermit the frog and miss piggy wont take no for an answer , launching a search for someone to take them to broadway .","song and dance , crude humor and satire , catchy song and hilarious musical comedy , dazzling vocal performance and musical , gag , joke , and slapstick humor , funny joke and crude humor , laughoutloud relationship entanglement",Comedy
1002936,tenacious d in the pick of destiny,"in venice beach , naive midwesterner jb bond with local slacker kg and they form the rock band tenacious d. setting out to become the world greatest band is no easy feat , so they set out to steal what could be the answer to their prayer ... a magical guitar pick housed in a rockandroll museum some 300 mile away .","crude humor and satire , song and dance , funny joke and crude humor , catchy song and hilarious musical comedy , gag , joke , and slapstick humor , legendary musician and stardom , dazzling vocal performance and musical",Comedy
1043371,standin,"an east coast efficiency expert , who stake his reputation on his ability to turn around a financially troubled hollywood studio , receives some help from a former child star who now work a a standin for the studio .","relationship comedy , gag , joke , and slapstick humor , catchy song and hilarious musical comedy",Comedy
1011650,force of nature,"ben holmes , a professional bookjacket blurbologist , is trying to get to savannah for his wedding . he just barely catch the last plane , but a seagull fly into the engine a the plane is taking off . all later flight are cancelled because of an approaching hurricane , so he is forced to hitch a ride in a geo metro with an attractive but eccentric woman named sara .","relationship comedy , laughoutloud relationship entanglement , charming romance and delightful chemistry , quirky and endearing relationship , captivating relationship and charming romance , gag , joke , and slapstick humor",Comedy
1001393,freaky,"a mystical , ancient dagger cause a notorious serial killer to magically switch body with a 17yearold girl .","crude humor and satire , horror , the undead and monster classic , underdog and coming of age , gory , gruesome , and slasher horror , teen school antic and laughter , gag , joke , and slapstick humor , funny joke and crude humor , spooky , scary comedy",Comedy
1009328,d3 the mighty duck,the duck are offered scholarship at eden hall academy but struggle with their new coach method and come under pressure from the board to retain their scholarship before their big game against the varsity team .,"underdog and coming of age , inspiring sport underdog story",Comedy
1061725,grand masti,"meet , prem , and amar look to have a blast at their college reunion , though they soon find themselves in another predicament .","crude humor and satire , funny joke and crude humor , gag , joke , and slapstick humor , teen school antic and laughter , amusing joke and witty satire",Comedy
1064773,the year without a santa claus,"thoroughly disgruntled , santa goodman opts to take a year off from delivering present , until a young man help him rediscover the meaning of the holiday .","song and dance , holiday joy and heartwarming christmas , kid animated fun and adventure , dazzling vocal performance and musical , catchy song and hilarious musical comedy",Comedy
1000202,birdman or the unexpected virtue of ignorance,"a fading actor best known for his portrayal of a popular superhero attempt to mount a comeback by appearing in a broadway play . a opening night approach , his attempt to become more altruistic , rebuild his career , and reconnect with friend and family prove more difficult than expected .","humanity and the world around u , dreamlike , quirky , and surreal storytelling , surreal and thoughtprovoking vision of life and death , emotional and captivating fantasy storytelling",Comedy
1005118,going in style,"desperate to pay the bill and come through for their loved one , three lifelong pal risk it all by embarking on a daring bid to knock off the very bank that absconded with their money .","crude humor and satire , crime , drug and gangster , gag , joke , and slapstick humor , amusing joke and witty satire , funny joke and crude humor , laughoutloud relationship entanglement , heist and thrilling action",Comedy
1020797,the mouse that roared,"the duchy of grand fenwick decides that the only way to get out of their economic woe is to declare war on the united state , lose and accept foreign aid . they send an invasion force in chain mail , armed with bow and arrow to new york and they arrive during a nuclear drill that ha cleared the street .","crude humor and satire , war and historical adventure , politics and human right , amusing joke and witty satire , gag , joke , and slapstick humor , dangerous technology and the apocalypse , military combat and heroic soldier , politics , propaganda , and political documentary",Comedy
1006289,dirty work,"unemployed and recently dumped , mitch and his buddy sam start a revengeforhire business to raise the 50,000 that sam father need to get a heart transplant .","crude humor and satire , gag , joke , and slapstick humor , funny joke and crude humor , amusing joke and witty satire , laughoutloud relationship entanglement , action comedy and silly heroic",Comedy
1006186,a shaun the sheep movie farmageddon,"when an alien with amazing power crashlands near mossy bottom farm , shaun the sheep go on a mission to shepherd the intergalactic visitor home before a sinister organization can capture her .","crude humor and satire , monster , alien , scifi and the apocalypse , kid animated fun and adventure , adorable animal and heartwarming family , actionpacked space and alien saga , holiday joy and heartwarming christmas , fairytale fantasy and enchanted magic",Comedy
1074343,after you,"antoine work in a bar in paris . one evening on his way home from work , he intervenes when a man try to commit suicide . he feel strangely guilty about having saved the man life and constantly try to help him , make thing better . no matter what antoine doe , he cant get louis mind off blanche , the woman of his dream , his sole obsession , the reason why he wanted to die ... antoine decides to look for her , but doesnt let louis know .","relationship comedy , laughoutloud relationship entanglement , quirky and endearing relationship , catchy song and hilarious musical comedy , gag , joke , and slapstick humor",Comedy
1018530,clay pigeon,"clay is a young man in a small town who witness his friend , earl kill himself because of the ongoing affair that clay wa having with the man wife , amanda . feeling guilty , clay now resists the widow when she press him to continue with their sexual affair . clay inadvertently befriends a serial killer named lester long , who murder the widow in an attempt to help his fishing buddy .","intense violence and sexual transgression , thriller and murder mystery , crude humor and satire , suspenseful crime thriller , twisted dark psychological thriller , intriguing and suspenseful murder mystery , noir and dark crime drama , gag , joke , and slapstick humor",Comedy
1003459,down with love,"in 1962 new york city , love blossom between a playboy journalist and a feminist advice author .","crude humor and satire , relationship comedy , song and dance , laughoutloud relationship entanglement , catchy song and hilarious musical comedy , gag , joke , and slapstick humor , funny joke and crude humor , charming romance and delightful chemistry",Comedy
1003570,norbit,"a mildmannered guy who is engaged to a monstrous woman meet the woman of his dream , and scheme to find a way to be with her .","crude humor and satire , relationship comedy , funny joke and crude humor , gag , joke , and slapstick humor , amusing joke and witty satire , laughoutloud relationship entanglement , catchy song and hilarious musical comedy",Comedy
1041035,splitting heir,"a member of the english upper class dy , leaving his estate and his business to an american , whom he think is his son who wa lost a a baby and then found again . an englishman who think he is an indian come to believe that he is actually the heir . he come to hate the american who is his bos , his friend , and the man who ha stolen the woman after whom he lust .","crude humor and satire , amusing joke and witty satire , gag , joke , and slapstick humor , funny joke and crude humor , catchy song and hilarious musical comedy , spooky , scary comedy",Comedy
1015096,operation petticoat,"a world war ii submarine commander find himself stuck with a damaged sub , a conman executive officer , and a group of army nurse .","crude humor and satire , gag , joke , and slapstick humor , amusing joke and witty satire , laughoutloud relationship entanglement , bravery in war , funny joke and crude humor",Comedy
1005896,last flag flying,"thirty year after serving together in the vietnam war , larry doc shepherd , sal nealon and the rev . richard mueller reunite for a different type of mission to bury doc son , a young marine killed in iraq . forgoing burial at arlington national cemetery , doc and his old buddy take the casket on a bittersweet trip up the coast to new hampshire . along the way , the three men find themselves reminiscing and coming to term with the shared memory of a war that continues to shape their life .","moving relationship story , military combat and heroic soldier , touching and sentimental family story , powerful story of heartbreak and suffering , quirky and endearing relationship",Comedy
1023336,thats amor,"after her job and relationship implode on the same day , sofia start from scratch and meet a dashing spanish chef who might be her missing ingredient .","relationship comedy , laughoutloud relationship entanglement , charming romance and delightful chemistry",Comedy
1000290,the royal tenenbaums,"royal tenenbaum and his wife etheline had three child and then they separated . all three child are extraordinary all genius . virtually all memory of the brilliance of the young tenenbaums wa subsequently erased by two decade of betrayal , failure , and disaster . most of this wa generally considered to be their father fault . the royal tenenbaums is the story of the family sudden , unexpected reunion one recent winter .","crude humor and satire , moving relationship story , humanity and the world around u , relationship comedy , quirky and endearing relationship , gag , joke , and slapstick humor , powerful story of heartbreak and suffering , emotional and touching family drama , amusing joke and witty satire",Comedy
1011748,mac devin go to high school,"a comedy that follows two high school student one overachiever struggling to write his valedictorian speech , the other a senior now going on his 15th year of school .","crude humor and satire , teen school antic and laughter , gag , joke , and slapstick humor , funny joke and crude humor",Comedy
1017040,torch song trilogy,"a very personal story that is both funny and poignant , torch song trilogy chronicle a new yorkers search for love , respect and tradition in a world that seems not especially made for him .","moving relationship story , emotional lgbtq relationship , touching and sentimental family story , emotional teen comingofage story , powerful story of heartbreak and suffering , heartbreaking and moving family drama",Comedy
1002906,amarcord,"in an italian seaside town , young titta get into trouble with his friend and watch various local eccentric a they engage in often absurd behavior . frequently clashing with his stern father and defended by his doting mother , titta witness the action of a wide range of character , from his extended family to fascist loyalist to sensual woman , with certain moment shifting into fantastical scenario .","humanity and the world around u , moving relationship story , dreamlike , quirky , and surreal storytelling , surreal and thoughtprovoking vision of life and death , powerful poetic and passionate drama , emotional teen comingofage story , captivating relationship and charming romance",Comedy
1001675,blazing saddle,"a townwhere everyone seems to be named johnsonstands in the way of the railroad . in order to grab their land , robber baron hedley lemar sends his henchman to make life in the town unbearable . after the sheriff is killed , the town demand a new sheriff from the governor , so hedley convinces him to send the town the first black sheriff in the west .","crude humor and satire , western , song and dance , funny joke and crude humor , gag , joke , and slapstick humor , amusing joke and witty satire , western frontier drama with a touch of humor , catchy song and hilarious musical comedy",Comedy
1001049,raising arizona,the coen brother tell the story of an absurd yet likable family with an unproductive couple a the focal point . the couple ha gotten themselves into some trouble while kidnapping a baby and give hollywood one of the most memorable chase scene to date .,"crude humor and satire , relationship comedy , gag , joke , and slapstick humor , amusing joke and witty satire , funny joke and crude humor , laughoutloud relationship entanglement , catchy song and hilarious musical comedy",Comedy
1007003,yogi bear,"a documentary filmmaker travel to jellystone park to shoot a project and soon cross path with yogi bear , his sidekick booboo , and ranger smith .","crude humor and satire , kid animated fun and adventure , adorable animal and heartwarming family , gag , joke , and slapstick humor , holiday joy and heartwarming christmas , fairytale fantasy and enchanted magic",Comedy
1002466,billy madison,"billy madison is the 27 yearold son of bryan madison , a very rich man who ha made his living in the hotel industry . billy stand to inherit his father empire but only if he can make it through all 12 grade , 2 week per grade , to prove that he ha what it take to run the family business .","crude humor and satire , funny joke and crude humor , gag , joke , and slapstick humor , amusing joke and witty satire , catchy song and hilarious musical comedy , kid animated fun and adventure",Comedy
1002291,boy,"it 1984 , and michael jackson is king even in waihau bay , new zealand . here we meet boy , an 11yearold who life on a farm with his gran , a goat , and his younger brother , rocky who think he ha magic power . shortly after gran leaf for a week , boy father , alamein , appears out of the blue . having imagined a heroic version of his father during his absence , boy come face to face with the real versionan incompetent hoodlum who ha returned to find a bag of money he buried year before . this is where the goat enters .","moving relationship story , humanity and the world around u , emotional and touching family drama , touching and sentimental family story , powerful story of heartbreak and suffering , quirky and endearing relationship , heartbreaking and moving family drama",Comedy
1107191,feeling butterfly,"when you need butterfly for your wedding or birthday , there only one woman to call emily mariposa . it what her business feeling butterfly inc. is all about and right now , business is good ! in fact it so good , emily and her business partner adam are struggling to keep up with demand .","relationship comedy , charming romance and delightful chemistry , laughoutloud relationship entanglement , touching and sentimental family story",Comedy
1022526,series 7 the contender,"a reality tv program selects six contestant to participate in a freeforall , no hold barred deathmatch , where they must skillfully outwit and kill each other in order to be the last person alive .","crude humor and satire , intense violence and sexual transgression , fascinating , emotional story and documentary , amusing joke and witty satire",Comedy
1004584,elizabethtown,"drew baylor is fired after causing his shoe company to lose hundred of million of dollar . to make matter worse , he also dumped by his girlfriend . on the verge of ending it all , drew get a new lease on life when he return to his family small kentucky hometown after his father dy . along the way , he meet a flight attendant with whom he fall in love .","relationship comedy , moving relationship story , humanity and the world around u , touching and sentimental family story , emotional and touching family drama , laughoutloud relationship entanglement , quirky and endearing relationship , charming romance and delightful chemistry",Comedy
1000534,the parent trap,"hallie parker and annie james are identical twin separated at a young age because of their parent divorce . unknowingly to their parent , the girl are sent to the same summer camp where they meet , discover the truth about themselves , and then plot with each other to switch place .","relationship comedy , charming romance and delightful chemistry , touching and sentimental family story , laughoutloud relationship entanglement , emotional and touching family drama , quirky and endearing relationship",Comedy
1002911,the dirt,the story of mtley cre and their rise from the sunset strip club scene of the early 1980s to superstardom .,"moving relationship story , emotional life of renowned artist , emotional teen comingofage story , legendary musician and stardom",Comedy
1079627,the witch of oz,"the witch of oz follows the exploit of the grown dorothy gale , now a successful childrens book author , a she move from kansa to present day new york city . dorothy quickly learns that her popular book are based on repressed childhood memory , and that the wonder of oz are very , very real . when the wicked witch of the west show up in time square , dorothy must find the inner courage to stop her .",fairytale fantasy and enchanted magic,Comedy
1022184,rebound,an acclaimed college hoop coach is demoted to a junior varsity team after a public meltdown .,"crude humor and satire , inspiring sport underdog story , gag , joke , and slapstick humor , teen school antic and laughter , funny joke and crude humor , amusing joke and witty satire",Comedy
